RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
1,75682867,Smith,399,France,Female,72,2,199803.12,2,1,1,23334.49,1,0,4,SILVER,190
2,66755036,Smith,686,Spain,Female,82,3,130989.86,4,0,1,71109.84,1,0,3,PLATINUM,356
3,66882282,Smith,444,Spain,Male,49,0,112353.9,3,1,0,47983.4,0,0,3,DIAMOND,206
4,31081788,Smith,617,France,Female,77,5,27902.42,3,1,0,65259.63,0,0,3,PLATINUM,496
5,23315092,Smith,372,Spain,Female,47,10,185390.63,2,1,1,145735.45,1,0,4,PLATINUM,250
6,45788921,Smith,403,Germany,Female,83,5,32790.91,4,1,0,197822.3,0,0,2,SILVER,687
7,36735830,Smith,723,Spain,Female,35,3,48079.45,1,0,1,185475.06,1,0,3,GOLD,479
8,41632483,Smith,603,France,Female,76,7,31605.81,3,0,1,166108.81,0,0,3,SILVER,862
9,86737383,Smith,802,France,Male,70,4,1643.9,3,0,1,150067.44,0,0,4,PLATINUM,914
10,98358551,Smith,584,Spain,Male,81,9,165478.45,2,0,1,189538.15,0,0,5,SILVER,370
11,98409749,Smith,833,France,Female,47,3,67711.01,2,0,0,152887.95,1,0,4,PLATINUM,623
12,14981505,Smith,408,Spain,Male,35,6,37367.61,1,1,0,99481.39,1,0,4,SILVER,891
13,23953367,Smith,513,Spain,Male,22,9,79993.12,3,0,0,124258.77,0,0,5,DIAMOND,212
14,95652971,Smith,608,Spain,Female,86,9,124771.17,4,0,0,68099.14,0,0,1,SILVER,573
15,14521373,Smith,663,France,Male,25,7,125853.13,4,1,1,10628.58,0,0,4,PLATINUM,710
16,13344769,Smith,565,France,Male,26,1,91799.0,2,0,0,77186.45,1,0,4,DIAMOND,339
17,86893497,Smith,532,France,Female,49,0,123733.07,4,0,1,86917.67,0,0,3,GOLD,819
18,40349564,Smith,406,Spain,Male,31,5,106835.36,4,0,0,149287.51,1,0,2,DIAMOND,729
19,52860080,Smith,494,France,Female,30,1,205666.31,2,1,0,173251.9,0,0,2,SILVER,885
20,87751354,Smith,772,Germany,Male,35,10,7403.49,1,0,1,192904.4,0,0,4,DIAMOND,373
21,72250665,Smith,439,France,Male,85,7,217007.53,1,1,0,76840.43,0,0,2,SILVER,793
22,76209791,Smith,801,France,Male,39,4,60978.81,3,1,0,191905.42,0,0,3,PLATINUM,819
23,56792155,Smith,660,France,Male,37,1,180445.55,2,1,1,161883.26,0,0,4,PLATINUM,954
24,31498555,Smith,394,Germany,Female,32,10,101259.9,2,1,1,15860.43,1,0,4,PLATINUM,454
25,70221198,Smith,809,Spain,Female,24,4,73583.24,3,0,1,123099.56,0,0,4,SILVER,746
26,89757501,Smith,606,France,Male,47,1,153836.84,4,0,1,79471.94,0,0,3,GOLD,491
27,26861870,Smith,370,Spain,Female,22,5,192221.1,1,0,1,16462.13,0,0,2,PLATINUM,865
28,62286002,Smith,816,Germany,Female,18,7,112484.11,3,0,1,110985.59,0,0,4,PLATINUM,215
29,42049003,Smith,370,Germany,Male,77,1,116638.46,3,1,1,121115.25,0,0,5,DIAMOND,981
30,71136438,Smith,401,Germany,Male,48,5,14714.12,3,0,1,57923.84,0,0,4,PLATINUM,296
31,72194931,Smith,687,France,Female,37,5,230999.0,1,0,1,188577.15,0,0,2,SILVER,127
32,75285250,Smith,520,France,Female,81,0,211724.17,4,1,1,125986.31,0,0,1,DIAMOND,328
33,79537252,Smith,785,Spain,Female,81,8,99498.2,1,1,1,43433.09,0,0,1,DIAMOND,765
34,69248434,Smith,416,France,Female,46,7,191237.65,2,0,0,147038.8,0,0,1,SILVER,496
35,71306900,Smith,462,France,Male,27,3,78319.79,2,0,0,104836.52,0,0,5,GOLD,268
36,65831368,Smith,649,France,Female,46,6,182605.45,3,1,1,99914.47,1,0,1,GOLD,336
37,20959014,Smith,509,Germany,Female,48,3,129172.93,2,1,0,168561.32,0,0,3,GOLD,244
38,66972561,Smith,615,France,Female,47,7,115191.68,1,1,1,36254.16,0,0,3,GOLD,401
39,58900483,Smith,669,Germany,Male,42,9,14130.75,2,1,1,103287.48,0,0,1,SILVER,912
40,30193880,Smith,581,France,Female,75,1,241355.48,2,1,1,158344.98,0,0,1,SILVER,416
41,13385357,Smith,812,Spain,Female,74,1,209352.24,4,0,0,135473.8,0,0,2,GOLD,600
42,54738553,Smith,674,France,Male,80,2,198347.02,1,1,1,11028.59,0,0,3,DIAMOND,205
